iter	Passed	Remaining
0	4	486
1	9	462
2	14	480
3	18	447
4	23	444
5	27	437
6	32	428
7	36	421
8	41	415
9	45	413
10	50	410
11	55	406
12	60	401
13	65	402
14	70	399
15	73	388
16	76	375
17	79	363
18	82	351
19	84	338
20	86	326
21	88	315
22	90	303
23	92	292
24	94	282
25	95	272
26	97	264
27	99	254
28	100	245
29	101	237
30	103	230
31	104	222
32	106	215
33	107	208
34	108	201
35	110	195
36	111	190
37	113	184
38	114	179
39	115	173
40	117	168
41	117	162
42	119	158
43	120	153
44	122	149
45	123	144
46	125	140
47	126	137
48	127	133
49	129	129
50	130	125
51	132	122
52	133	118
53	134	114
54	135	111
55	137	107
56	138	104
57	140	101
58	141	98
59	142	95
60	144	92
61	145	89
62	147	86
63	148	83
64	150	80
65	151	78
66	153	75
67	154	72
68	156	70
69	158	68
70	161	65
71	162	63
72	164	60
73	165	58
74	167	55
75	168	53
76	170	50
77	171	48
78	173	45
79	174	43
80	175	41
81	177	38
82	178	36
83	180	34
84	181	32
85	183	29
86	184	27
87	186	25
88	187	23
89	189	21
90	190	18
91	192	16
92	193	14
93	195	12
94	196	10
95	198	8
96	199	6
97	200	4
98	202	2
99	203	0
