iter	Passed	Remaining
0	148	148330
1	149	74720
2	150	50087
3	151	37777
4	152	30413
5	153	25493
6	155	21991
7	156	19373
8	157	17329
9	158	15697
10	159	14381
11	161	13264
12	162	12314
13	163	11503
14	164	10793
15	165	10172
16	166	9628
17	167	9138
18	168	8704
19	169	8315
20	170	7968
21	172	7647
22	173	7363
23	174	7106
24	175	6861
25	177	6637
26	178	6427
27	179	6231
28	180	6055
29	182	5890
30	183	5731
31	184	5591
32	186	5454
33	187	5327
34	188	5210
35	190	5096
36	191	4984
37	192	4880
38	194	4781
39	195	4687
40	196	4598
41	198	4518
42	199	4438
43	200	4362
44	202	4289
45	203	4219
46	204	4152
47	206	4089
48	207	4031
49	209	3973
50	210	3916
51	211	3863
52	213	3812
53	214	3760
54	215	3711
55	217	3665
56	218	3622
57	220	3578
58	221	3537
59	223	3495
60	224	3456
61	226	3421
62	227	3384
63	228	3347
64	230	3312
65	231	3278
66	233	3246
67	234	3218
68	236	3186
69	237	3155
70	239	3127
71	240	3098
72	241	3068
73	243	3041
74	244	3014
75	245	2990
76	247	2964
77	248	2940
78	250	2915
79	251	2893
80	253	2873
81	254	2850
82	255	2821
83	257	2804
84	258	2783
85	259	2762
86	261	2743
87	262	2725
88	264	2707
89	266	2689
90	267	2674
91	269	2655
92	270	2637
93	271	2621
94	273	2604
95	274	2587
96	276	2571
97	277	2555
98	278	2538
99	280	2524
100	281	2508
101	283	2493
102	284	2479
103	285	2463
104	287	2450
105	288	2435
106	290	2422
107	291	2410
108	293	2397
109	294	2386
110	296	2372
111	297	2360
112	299	2348
113	300	2337
114	302	2325
115	303	2314
116	304	2300
117	306	2290
118	307	2279
119	309	2269
120	310	2259
121	312	2247
122	313	2238
123	315	2228
124	317	2219
125	318	2210
126	319	2199
127	321	2191
128	323	2183
129	325	2176
130	326	2167
131	328	2158
132	329	2148
133	331	2139
134	332	2130
135	334	2123
136	335	2116
137	337	2108
138	339	2100
139	340	2094
140	342	2086
141	343	2074
142	344	2066
143	346	2057
144	347	2049
145	349	2041
146	350	2034
147	352	2026
148	353	2019
149	355	2011
150	356	2004
151	357	1996
152	359	1989
153	360	1982
154	362	1975
155	364	1970
156	366	1965
157	368	1961
158	369	1954
159	371	1948
160	372	1939
161	374	1934
162	375	1928
163	376	1921
164	378	1915
165	380	1910
166	381	1904
167	383	1897
168	384	1891
169	386	1885
170	387	1879
171	389	1874
172	391	1870
173	392	1865
174	394	1860
175	396	1854
176	397	1848
177	399	1843
178	400	1838
179	402	1833
180	403	1827
181	405	1821
182	406	1815
183	408	1811
184	409	1805
185	411	1799
186	412	1794
187	414	1789
188	415	1784
189	417	1778
190	418	1773
191	420	1768
192	421	1763
193	423	1759
194	424	1754
195	426	1749
196	427	1743
197	429	1739
198	430	1734
199	432	1730
200	434	1725
201	435	1720
202	436	1715
203	438	1711
204	440	1706
205	441	1701
206	443	1697
207	444	1693
208	445	1687
209	447	1683
210	448	1678
211	450	1674
212	451	1669
213	453	1665
214	454	1660
215	456	1656
216	457	1652
217	459	1647
218	460	1642
219	461	1637
220	463	1633
221	464	1629
222	466	1624
223	467	1620
224	469	1617
225	470	1612
226	472	1609
227	474	1605
228	475	1601
229	477	1597
230	478	1592
231	479	1588
232	481	1584
233	483	1581
234	485	1579
235	486	1575
236	487	1570
237	489	1567
238	490	1562
239	492	1558
240	493	1554
241	495	1550
242	496	1546
243	498	1544
244	499	1540
245	501	1536
246	502	1532
247	503	1528
248	505	1524
249	506	1520
250	508	1516
251	509	1512
252	511	1509
253	513	1507
254	515	1504
255	516	1501
256	517	1497
257	519	1493
258	520	1490
259	522	1486
260	523	1483
261	525	1480
262	527	1477
263	528	1473
264	530	1470
265	531	1467
266	533	1463
267	534	1459
268	535	1455
269	537	1452
270	538	1448
271	540	1445
272	541	1442
273	543	1438
274	544	1435
275	545	1432
276	547	1428
277	548	1425
278	550	1421
279	551	1418
280	553	1415
281	554	1412
282	556	1409
283	557	1405
284	559	1402
285	560	1399
286	562	1396
287	563	1394
288	565	1390
289	566	1388
290	568	1384
291	569	1381
292	571	1379
293	573	1376
294	574	1373
295	575	1369
296	577	1366
297	579	1364
298	580	1361
299	582	1358
300	583	1355
301	585	1352
302	587	1350
303	588	1347
304	589	1344
305	591	1341
306	593	1338
307	594	1335
308	596	1333
309	597	1330
310	599	1327
311	600	1324
312	602	1322
313	604	1319
314	605	1316
315	606	1313
316	608	1310
317	609	1307
318	611	1304
319	612	1301
320	614	1298
321	615	1296
322	617	1293
323	618	1291
324	620	1288
325	621	1285
326	623	1283
327	624	1280
328	626	1277
329	627	1275
330	629	1272
331	631	1270
332	632	1267
333	634	1264
334	635	1261
335	637	1259
336	639	1257
337	640	1255
338	642	1252
339	643	1249
340	645	1247
341	646	1244
342	648	1241
343	650	1239
344	651	1237
345	653	1234
346	654	1232
347	656	1229
348	657	1227
349	659	1225
350	661	1222
351	662	1220
352	664	1217
353	666	1215
354	667	1212
355	669	1210
356	670	1207
357	672	1205
358	673	1203
359	675	1200
360	676	1198
361	678	1195
362	680	1193
363	681	1190
364	683	1188
365	684	1185
366	685	1182
367	687	1180
368	688	1178
369	690	1175
370	692	1173
371	693	1170
372	695	1168
373	696	1166
374	698	1163
375	699	1161
376	701	1158
377	702	1155
378	704	1153
379	705	1151
380	707	1148
381	708	1146
382	710	1144
383	711	1142
384	713	1139
385	715	1137
386	716	1135
387	718	1132
388	719	1130
389	721	1128
390	722	1125
391	724	1123
392	725	1120
393	727	1118
394	728	1115
395	729	1113
396	731	1110
397	733	1108
398	734	1106
399	736	1104
400	737	1101
401	739	1099
402	740	1097
403	742	1094
404	743	1092
405	744	1089
406	746	1087
407	748	1085
408	749	1083
409	751	1080
410	752	1078
411	754	1076
412	755	1073
413	757	1071
414	758	1069
415	760	1067
416	762	1065
417	764	1064
418	765	1061
419	767	1059
420	768	1057
421	770	1054
422	771	1052
423	773	1050
424	774	1048
425	776	1046
426	777	1043
427	779	1041
428	780	1039
429	782	1036
430	783	1034
431	785	1032
432	786	1030
433	788	1028
434	789	1025
435	791	1024
436	793	1021
437	794	1019
438	795	1017
439	797	1014
440	798	1012
441	800	1010
442	801	1008
443	803	1006
444	804	1003
445	806	1001
446	807	999
447	809	997
448	810	994
449	812	992
450	813	990
451	815	988
452	816	986
453	818	984
454	819	982
455	821	980
456	823	977
457	824	975
458	826	973
459	827	971
460	829	969
461	830	967
462	832	965
463	833	962
464	835	960
465	836	958
466	838	956
467	839	954
468	841	952
469	842	950
470	844	948
471	845	946
472	847	944
473	848	941
474	850	939
475	851	937
476	853	935
477	855	933
478	856	931
479	858	929
480	859	927
481	861	925
482	862	923
483	863	920
484	865	919
485	867	917
486	868	915
487	870	913
488	871	911
489	873	909
490	874	907
491	876	904
492	878	902
493	879	900
494	881	899
495	882	896
496	884	894
497	885	892
498	887	891
499	889	889
500	890	887
501	892	884
502	893	882
503	894	880
504	896	878
505	897	876
506	899	874
507	900	872
508	902	870
509	903	868
510	905	866
511	906	864
512	908	862
513	910	860
514	911	858
515	913	856
516	914	854
517	916	852
518	917	850
519	919	848
520	920	846
521	922	844
522	923	842
523	925	840
524	927	838
525	928	836
526	930	834
527	931	832
528	932	830
529	934	828
530	936	826
531	937	824
532	939	822
533	940	820
534	942	819
535	943	817
536	945	815
537	946	813
538	948	810
539	949	808
540	951	806
541	952	805
542	954	803
543	956	801
544	957	799
545	959	797
546	960	795
547	962	793
548	964	792
549	965	790
550	967	788
551	968	786
552	970	784
553	972	782
554	973	780
555	975	778
556	976	776
557	978	774
558	979	772
559	981	771
560	982	769
561	984	767
562	985	765
563	987	763
564	988	761
565	990	759
566	991	757
567	993	755
568	994	753
569	996	751
570	997	749
571	999	747
572	1000	745
573	1002	743
574	1003	741
575	1005	739
576	1006	738
577	1008	736
578	1009	734
579	1011	732
580	1013	730
581	1014	728
582	1016	726
583	1017	724
584	1019	722
585	1020	721
586	1022	719
587	1024	717
588	1025	715
589	1027	713
590	1028	711
591	1030	709
592	1031	708
593	1033	706
594	1034	704
595	1036	702
596	1037	700
597	1039	698
598	1040	696
599	1042	694
600	1043	692
601	1045	691
602	1046	689
603	1047	687
604	1049	685
605	1051	683
606	1052	681
607	1054	679
608	1055	677
609	1056	675
610	1058	673
611	1059	672
612	1061	670
613	1063	668
614	1064	666
615	1066	664
616	1067	662
617	1068	660
618	1070	658
619	1072	657
620	1073	655
621	1075	653
622	1076	651
623	1078	649
624	1080	648
625	1081	646
626	1083	644
627	1084	642
628	1086	640
629	1087	638
630	1089	636
631	1090	635
632	1092	633
633	1093	631
634	1095	629
635	1096	627
636	1098	625
637	1099	623
638	1101	622
639	1102	620
640	1104	618
641	1105	616
642	1107	614
643	1108	612
644	1110	611
645	1111	609
646	1113	607
647	1114	605
648	1115	603
649	1117	601
650	1119	599
651	1120	598
652	1122	596
653	1123	594
654	1125	592
655	1126	590
656	1128	588
657	1129	587
658	1131	585
659	1132	583
660	1134	581
661	1136	580
662	1137	578
663	1139	576
664	1140	574
665	1142	572
666	1143	570
667	1145	569
668	1146	567
669	1148	565
670	1149	563
671	1151	562
672	1153	560
673	1154	558
674	1156	556
675	1157	554
676	1159	553
677	1161	551
678	1162	549
679	1163	547
680	1165	545
681	1166	544
682	1168	542
683	1169	540
684	1171	538
685	1172	536
686	1174	535
687	1175	533
688	1177	531
689	1178	529
690	1180	527
691	1181	525
692	1182	524
693	1184	522
694	1186	520
695	1187	518
